Date,RegionName,State,Metro,County,City,SizeRank,Zri,MoM,QoQ,YoY,ZriRecordCnt
2/28/19,60643,IL,Chicago-Naperville-Elgin,Cook County,Chicago,862,1497,0.005372733,0.030282175,0.047585724,17138
2/28/19,85248,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Chandler,863,1748,0.005175388,0.023419204,0.051744886,15370
2/28/19,47374,IN,Richmond,Wayne County,Richmond,864,790,-0.001264223,0.032679739,0.007653061,18160
2/28/19,80012,CO,Denver-Aurora-Lakewood,Arapahoe County,Aurora,865,1873,0.001068947,0.017934783,0.04229271,12998
2/28/19,29910,SC,Hilton Head Island-Bluffton-Beaufort,Beaufort County,Bluffton,866,1868,0.007008086,0.046498599,0.077899596,14656
2/28/19,77063,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,867,1505,-0.000664011,0.001330672,0.00266489,7146
2/28/19,87112,NM,Albuquerque,Bernalillo County,Albuquerque,868,1220,0,0.008264463,0.02006689,15401
2/28/19,70001,LA,New Orleans-Metairie,Jefferson Parish,Metairie,869,1507,-0.001325381,0.003997335,-0.017601043,11167
2/28/19,55106,MN,Minneapolis-St. Paul-Bloomington,Ramsey County,Saint Paul,870,1408,0.004279601,0.033773862,0.054681648,13947
2/28/19,32935,FL,Palm Bay-Melbourne-Titusville,Brevard County,Melbourne,871,1349,0.008221226,0.040092521,0.071485306,15701
2/28/19,76549,TX,Killeen-Temple,Bell County,Killeen,872,992,0.003033367,0.017435897,0.025853154,15992
2/28/19,78216,TX,San Antonio-New Braunfels,Bexar County,San Antonio,873,1442,0.002781641,0.020523708,0.04341534,8719
2/28/19,63031,MO,St. Louis,Saint Louis County,Florissant,874,1067,0.005655042,0.023010547,0.024975985,18572
2/28/19,57701,SD,Rapid City,Pennington County,Rapid City,875,1194,0,0.003361345,0.000838223,10457
2/28/19,89115,NV,Las Vegas-Henderson-Paradise,Clark County,Las Vegas,876,1149,0.001743679,0.021333333,0.044545455,10640
2/28/19,11224,NY,New York-Newark-Jersey City,Kings County,New York,877,2277,-0.001315789,-0.008275261,-0.016839378,4292
2/28/19,14120,NY,Buffalo-Cheektowaga-Niagara Falls,Niagara County,North Tonawanda,878,1218,-0.000820345,0.027848101,0.123616236,15118
2/28/19,92057,CA,San Diego-Carlsbad,San Diego County,Oceanside,879,2472,0.001620746,0.016865487,0.034309623,17384
2/28/19,28173,NC,Charlotte-Concord-Gastonia,Union County,Waxhaw,880,2151,0.002797203,0.01943128,0.009385265,16387
2/28/19,55303,MN,Minneapolis-St. Paul-Bloomington,Anoka County,Ramsey,881,1644,0.003050641,0.02366127,0.046467218,16347
2/28/19,76133,TX,Dallas-Fort Worth-Arlington,Tarrant County,Fort Worth,882,1432,0.001398601,0.017045455,0.028735632,15655
2/28/19,95020,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,Gilroy,883,3241,-0.000308452,0,0.014397496,13859
2/28/19,10010,NY,New York-Newark-Jersey City,New York County,New York,884,3961,0.002023779,0.032586027,0.037997904,11797
2/28/19,33322,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,Sunrise,885,1507,0.002661344,0.017555706,0.040027605,21475
2/28/19,72764,AR,Fayetteville-Springdale-Rogers,Washington County,Springdale,886,1105,0.000905797,0.001813237,-0.030701754,11302
2/28/19,11691,NY,New York-Newark-Jersey City,Queens County,New York,887,2259,0.001773836,0.038143382,0.072649573,6643
2/28/19,53511,WI,Janesville-Beloit,Rock County,Beloit,888,801,0.00125,0.024296675,-0.006203474,18012
2/28/19,92223,CA,Riverside-San Bernardino-Ontario,Riverside County,Beaumont,889,1940,0.007268951,0.047516199,0.052631579,15107
2/28/19,58201,ND,Grand Forks,Grand Forks County,Grand Forks,890,1228,-0.00405515,0.007383101,0.029337804,3371
2/28/19,7083,NJ,New York-Newark-Jersey City,Union County,Union,891,1979,0.006612411,0.068574514,0.001518219,15741
2/28/19,77081,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,892,1527,0.001968504,0.015292553,0.016644474,1953
2/28/19,85207,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,Mesa,893,1646,0.004270897,0.023631841,0.053103007,15872
2/28/19,15237,PA,Pittsburgh,Allegheny County,Ross,894,1557,0.004516129,0.008419689,0.067169294,16341
